"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/08-00:21:35 - Trial_144","finished","-","","","2024-11-08T06:31:37.000Z","24","","true","96","22","448","0.000012040097650563749","1.054872425498327","RMSprop","5","0.00003028491078581361","22","0.7991507430997877","0.7409842744064796","0.7323344060069723","0.7527584255239695","0.6211196541786194","0.8359983019668884","0.788317877161431","0.7766466658006742","0.8044024765228954","0.5573776315998387"
"11/08-00:21:35 - Trial_143","finished","-","","","2024-11-08T06:31:00.000Z","35","","true","96","46","448","0.000016890220085675127","1.004917896703312","RMSprop","9","0.000016003414419461698","44","0.7893842887473461","0.7315607752582172","0.7248317634820773","0.7402682628301891","0.6214259934425354","0.8831187208150559","0.8502977251716513","0.8328130841647328","0.8760246166661186","0.4145802909860739"
"11/08-00:21:35 - Trial_142","finished","-","","","2024-11-08T06:30:32.000Z","27","","true","96","46","448","0.000024609517023769695","1.0043604556331864","RMSprop","8","0.000015015126088494256","28","0.7983014861995754","0.7365725286564581","0.7274306338822467","0.7492213378157908","0.5979915452003479","0.8709494835149285","0.8364165212332753","0.8203348612466156","0.8601674177629124","0.44414488810139735"
"11/08-00:21:35 - Trial_141","finished","-","","","2024-11-08T06:30:07.000Z","23","","true","64","50","448","0.00003370803725613499","1.106188503981604","RMSprop","6","0.00006312611324455165","18","0.7838641188959661","0.7195143438580827","0.712913513777905","0.7280594434429617","0.6292546480088621","0.8749115607754351","0.8392385967274321","0.8243074158121335","0.8600363598756797","0.42892387294554496"
"11/08-00:21:35 - Trial_140","finished","-","","","2024-11-08T06:29:34.000Z","31","","true","96","51","384","0.00002080189215904267","1.495286895166685","RMSprop","5","0.0001047120556466562","35","0.808067940552017","0.7291852813729461","0.7263317176686199","0.73226401164733","0.5251528477668762","0.8659968869392953","0.8234902565483504","0.8196692656037854","0.8276035227439511","0.4226650366106549"
"11/08-00:21:35 - Trial_139","finished","-","","","2024-11-08T06:29:14.000Z","19","","true","128","60","448","0.00004277328795313793","1.3231684015891632","SGD","6","0.000011310694155955136","15","0.7129511677282377","0.501873629509477","0.528703070623574","0.5146018563751832","0.8123180678016261","0.7056742606480826","0.48847707915629424","0.5081793827378029","0.5041541264539986","0.8118915323700223"
"11/08-00:21:35 - Trial_138","finished","-","","","2024-11-08T06:28:54.000Z","18","","true","96","56","448","0.0003647989536345219","2.7652808149826686","RMSprop","4","0.00001920449827730338","12","0.7876857749469215","0.7045928474088465","0.7126151444184231","0.6981868527419389","0.5377844035625458","0.9701429177868968","0.9591993452575402","0.9617154150980562","0.956748403812344","0.1176852482194836"
"11/08-00:21:35 - Trial_137","finished","-","","","2024-11-08T06:28:21.000Z","31","","true","128","47","384","0.000013951150647312564","1.2120076868189602","RMSprop","4","0.00004110914594904346","39","0.7821656050955414","0.7033283246104284","0.7039406275369058","0.7027282716636992","0.6052990900842767","0.8641573510683458","0.822645733157995","0.8124205411451295","0.8353720313186723","0.4597023927739689"
"11/08-00:21:35 - Trial_136","finished","-","","","2024-11-08T06:28:02.000Z","18","","true","96","49","448","0.0024071688744730707","1.1322859973813737","RMSprop","6","0.0001981384842235565","11","0.7690021231422506","0.6971645341734714","0.6939667193455424","0.7008188674451105","0.9969963383674622","0.9862742323475308","0.9815714131364804","0.974710556883892","0.9889558068527052","0.11038373320086582"
"11/08-00:21:35 - Trial_135","finished","-","","","2024-11-08T06:27:28.000Z","33","","true","96","58","448","0.000010115932385092957","1.382767812794056","RMSprop","5","0.000023319449366925697","40","0.8004246284501062","0.7150601466750968","0.71651552470518","0.7136605336219473","0.5593169844150543","0.844346964765813","0.7924821945307579","0.7917159844605551","0.7932607769326961","0.5012071648159543"
"11/08-00:21:35 - Trial_134","finished","-","","","2024-11-08T06:27:01.000Z","25","","false","128","47","448","0.000027544206490346705","1.284592081016823","RMSprop","5","0.0000821322267801238","27","0.7974522292993631","0.7307727059531819","0.7309025979258033","0.7306433099293281","0.5706141606757515","0.8812791849441064","0.8438484545357893","0.8328536257482512","0.8574085821944035","0.4014584230525153"
