"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/07-22:54:51 - Trial_80","finished","-","","","2024-11-08T04:35:31.000Z","27","","false","256","26","256","0.0007826985024876589","","Adagrad","4","0.3629860400756624","0.00043243258567508743","19","0.7779193205944799","0.707742123323183","0.6983134238028164","0.7220875769293611","0.4198728233575821","0.8689684448846753","0.8330203164795846","0.8192843958091676","0.8519265615918493","0.3212258613535336"
"11/07-22:54:51 - Trial_79","finished","-","","","2024-11-08T04:35:04.000Z","26","","false","160","26","320","0.0015796866702492663","","Adagrad","4","0.34077940786421673","0.0004493351552291562","15","0.7830148619957538","0.7198843788821538","0.7102186441337954","0.7345897682539746","0.422513614098231","0.9009480684873356","0.8744010890232203","0.85631569667517","0.9006669213503575","0.25033090511957806"
"11/07-22:54:51 - Trial_78","finished","-","","","2024-11-08T04:34:38.000Z","24","","false","128","38","384","0.0002372976538932941","","RMSprop","6","0.4137591894391382","0.0003151188827450607","12","0.7885350318471338","0.7114862325015696","0.7122551043183016","0.7107354227376661","0.45760457296120494","0.9375972831470214","0.9165359422039464","0.9115525398875431","0.9218541148373836","0.19826994969376496"
"11/07-22:54:51 - Trial_77","finished","-","","","2024-11-08T04:34:08.000Z","28","","true","96","21","384","0.0027410412981342183","","Adadelta","5","0.3966816841391621","0.0011824454909793935","14","0.7184713375796178","0.4667653199121205","0.4915345121683471","0.4970615534929165","0.5590668416023254","0.7218055752087166","0.4680470357826887","0.49666754097588606","0.4988933732940388","0.5512411751457162"
"11/07-22:54:51 - Trial_76","finished","-","","","2024-11-08T04:33:34.000Z","33","","false","160","24","320","0.004635974798517171","","RMSprop","1","0.5909268179550005","0.0006536177396121079","24","0.7842887473460722","0.6812398484028154","0.7203654188948307","0.6648060208477691","0.7340991338094075","0.9968869392953162","0.9957052140514642","0.9977550735105664","0.9936939935931366","0.07038188800215721"
"11/07-22:54:51 - Trial_75","finished","-","","","2024-11-08T04:32:59.000Z","33","","false","128","31","384","0.0033137356587805283","","SGD","8","0.2707724650219432","0.00020674771687437683","31","0.6471337579617834","0.6122891542873241","0.6246573339269968","0.6662409017613375","0.4972536108995739","0.6663364935616245","0.6285871768857285","0.6366694753759428","0.6829275687326841","0.4903217367827892"
"11/07-22:54:51 - Trial_74","finished","-","","","2024-11-08T04:32:33.000Z","24","","false","160","33","384","0.000011420682067703826","","RMSprop","3","0.46323429987543274","0.000387718870110847","11","0.7626326963906582","0.4344169009219411","0.4149609876015391","0.4967737847838207","0.5246180911858876","0.7520871656997311","0.4391129589019947","0.6337782382577604","0.5035345075413491","0.5351759599314796"
"11/07-22:54:51 - Trial_73","finished","-","","","2024-11-08T04:32:02.000Z","29","","false","128","26","384","0.0018741836004549889","","RMSprop","2","0.3148613335387344","0.00018011050096259344","19","0.7630573248407644","0.7006901421282798","0.6901669671860141","0.7209288166601329","0.8207395390460366","0.9988679779255696","0.9984739470785492","0.9977037887485648","0.9992499531220702","0.03139981517701277"
"11/07-22:54:51 - Trial_72","finished","-","","","2024-11-08T04:31:27.000Z","33","","false","64","32","384","0.007108093476411146","","RMSprop","1","0.37012751854002673","0.0005150430537493718","16","0.7927813163481954","0.7105917904809872","0.7056759545923632","0.7163504781597312","0.5605067546303207","0.9833026744021508","0.97794552936696","0.9738148785588984","0.9822701436026092","0.1366423284551045"
"11/07-22:54:51 - Trial_71","finished","-","","","2024-11-08T04:30:57.000Z","28","","false","96","35","384","0.010049697712931306","","RMSprop","0","0.34653229115582124","0.00025066285315621665","12","0.7740976645435245","0.7009024064171123","0.6964170146575825","0.7062774340261251","0.5936862432956695","0.9790575916230366","0.971952017471596","0.9667032583574892","0.97751219485727","0.13144428544753306"
