"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/07-02:34:17 - Trial_75","finished","-","","","2024-11-07T08:32:32.000Z","42","","true","224","54","384","0.00007219311978884889","2.912955238767222","Adagrad","3","0.2387659802156616","0.00009871142333307436","54","0.2980443200676841","0.5657394907691262","0.42488217351803137","0.5429606288671494"
"11/07-02:34:17 - Trial_74","finished","-","","","2024-11-07T08:31:50.000Z","40","","true","192","50","320","0.0001763710684891084","3.036193124047415","Adagrad","3","0.490255817850899","0.00003489054513206187","50","0.708312291837911","0.5135861405959496","0.8448473401625968","0.4272845653263298"
"11/07-02:34:17 - Trial_73","finished","-","","","2024-11-07T08:31:08.000Z","40","","true","192","50","320","0.000519087414757543","3.0411102887624573","Adagrad","3","0.5609464762272384","0.00019324257931837988","50","0.7229323456290146","0.4844788679709801","0.9278320191264162","0.2606538340852067"
"11/07-02:34:17 - Trial_72","finished","-","","","2024-11-07T08:30:23.000Z","43","","true","160","45","320","0.0009547256581982558","2.6995072101936746","Adagrad","1","0.5965731640915228","0.00002474713889774664","45","0.7138688402985902","0.5000437875588735","0.9835850143482848","0.1262503637207879"
"11/07-02:34:17 - Trial_71","finished","-","","","2024-11-07T08:29:42.000Z","39","","true","192","48","256","0.00012299315709556828","2.582532440821645","Adagrad","2","0.5597025613200431","0.0014080947235032436","48","0.715945710072527","0.54280502979572","0.7919399650116137","0.49521441234124675"
"11/07-02:34:17 - Trial_70","finished","-","","","2024-11-07T08:29:03.000Z","37","","true","128","40","384","0.00004927251417827676","2.3067990669299263","Adagrad","3","0.5251470775045864","0.0021674711550695377","40","0.7160178313028054","0.6198106596344396","0.7733924305289808","0.6032944428069251"
"11/07-02:34:17 - Trial_69","finished","-","","","2024-11-07T08:28:20.000Z","41","","true","96","46","320","0.00023161594282267517","3.1917344214805756","RMSprop","4","0.6613160905981263","0.003035360028901777","46","0.688099578964575","0.6160243105888367","0.9934874084260092","0.070962252447734"
"11/07-02:34:17 - Trial_68","finished","-","","","2024-11-07T08:27:43.000Z","35","","true","224","43","320","0.0003489977598484375","2.8166831007299775","Adagrad","5","0.7237578612759994","0.009739173100467796","43","0.6620475999826347","0.49824299866502936","0.699426303376482","0.4251532293856144"
"11/07-02:34:17 - Trial_67","finished","-","","","2024-11-07T08:27:04.000Z","37","","true","192","46","320","0.0003633669014150335","2.809875574543455","Adagrad","3","0.5657014255006196","0.0023993097912930173","46","0.7441370409189167","0.4702927516056941","0.8654100065996131","0.362342894077301"
"11/07-02:34:17 - Trial_66","finished","-","","","2024-11-07T08:26:19.000Z","43","","true","160","57","256","0.000142925942610335","2.4509540785292634","Adadelta","3","0.6164872473188181","0.00023007120039540525","57","0.43005808325266215","0.6839610377947489","0.3346200922700311","0.6886083059840732"
"11/07-02:34:17 - Trial_65","finished","-","","","2024-11-07T08:25:27.000Z","50","","true","64","50","320","0.0004841133282806022","2.858649068716751","Adagrad","2","0.41613629520822354","0.0006334753620266874","50","0.7079332369783442","0.4715123184629389","0.914410492715986","0.24752361119330463"
"11/07-02:34:17 - Trial_64","finished","-","","","2024-11-07T08:24:42.000Z","43","","true","128","53","256","0.00020082738080781588","2.631041109547585","Adagrad","2","0.48633966652435606","0.0004128316070571137","53","0.706855000153993","0.4971044847839757","0.8606777933249667","0.41732619064194815"
"11/07-02:34:17 - Trial_63","finished","-","","","2024-11-07T08:23:57.000Z","43","","true","128","50","256","0.00019318083261379463","2.446104920403768","Adagrad","2","0.5541983051307886","0.00046226889409008935","50","0.7325894804783448","0.49418390895190994","0.8400855787877328","0.42494560299175127"
"11/07-02:34:17 - Trial_62","finished","-","","","2024-11-07T08:23:13.000Z","42","","true","96","43","256","0.00010352695851465064","1.7361936058194176","Adagrad","1","0.5425934800738145","0.000289986218347855","43","0.6917252668203239","0.6459361243247986","0.8243354542513612","0.5899048826178989"
"11/07-02:34:17 - Trial_61","finished","-","","","2024-11-07T08:22:27.000Z","44","","true","128","49","256","0.00006803567576862787","2.1711720509877095","Adagrad","1","0.6093028003095154","0.00012599799843339727","49","0.5683639349318126","0.5837817850865816","0.5780797014172316","0.5611696179424014"
"11/07-02:34:17 - Trial_60","finished","-","","","2024-11-07T08:21:57.000Z","28","","false","192","21","256","0.0005852656234013634","2.907737387589283","Adagrad","3","0.10605733075187308","0.00019636257236424045","21","0.5735761659122013","0.4296365219813127","0.6213929409425516","0.30649453562659185"
"11/07-02:34:17 - Trial_59","finished","-","","","2024-11-07T08:21:14.000Z","41","","true","192","48","256","0.0014150437055935278","1.7538640787576294","SGD","0","0.6924421085368518","0.0010125697714322135","48","0.5475478803077792","0.7161720074140109","0.4622619519882853","0.7050050561492508"
"11/07-02:34:17 - Trial_58","finished","-","","","2024-11-07T08:20:34.000Z","38","","true","160","46","320","0.0009244246218926192","3.001688661064917","Adagrad","2","0.5627399003761502","0.0003268112125922728","46","0.7133543657385897","0.5089521944522858","0.9716941154040568","0.16351719746987026"
"11/07-02:34:17 - Trial_57","finished","-","","","2024-11-07T08:19:52.000Z","40","","true","160","52","256","0.003727271371693682","2.6675660185854495","RMSprop","4","0.5148885746135535","0.00011546197103403496","52","0.6814076249804673","1.0332563479741417","0.9991509671069736","0.030835577990445825"
