"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","threshold","trial_number","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/06-19:48:33 - Trial_77","finished","-","","","2024-11-07T02:34:14.000Z","59","","false","224","29","512","0.00006009540423879909","2.563989676780432","SGD","0.41762473698506497","","0.0005645575258454134","29","0.4197063148582949","0.6302635073661804","0.427591966220472","0.6290798056870699"
"11/06-19:48:33 - Trial_76","finished","-","","","2024-11-07T02:32:59.000Z","68","","false","160","34","448","0.03086304331545108","2.2615725445172132","Adadelta","0.3314784189777692","","0.0007280472883312893","34","0.7113469986654442","0.4447475890318552","0.7919171967902094","0.33969677090644834"
"11/06-19:48:33 - Trial_75","finished","-","","","2024-11-07T02:31:45.000Z","68","","false","192","34","512","0.030257697366007055","2.236418084468742","Adadelta","0.4049559029668902","","0.000640587585468161","34","0.7212538171059586","0.4210349183816176","0.7921258398348621","0.35057272298915965"
"11/06-19:48:33 - Trial_74","finished","-","","","2024-11-07T02:30:31.000Z","68","","false","224","39","448","0.04056046072592495","1.8888996782362488","Adadelta","0.5088905153182446","","0.0043203990849986895","39","0.6732105001526962","0.48265191370790655","0.8093032325097155","0.3463791236281395"
"11/06-19:48:33 - Trial_73","finished","-","","","2024-11-07T02:29:08.000Z","77","","false","192","46","512","0.019008454248078472","1.5508975254941684","Adadelta","0.6127075795148756","","0.003212480645589344","46","0.6898282033251407","0.5403782702409304","0.7425215658794946","0.4485963727976825"
"11/06-19:48:33 - Trial_72","finished","-","","","2024-11-07T02:28:11.000Z","51","","false","160","5","512","0.000011301174259209644","1.792933747894592","Adadelta","0.43947778320346975","","0.00009972964310265576","5","0.18370883882149047","0.7501343329747517","0.20011318619128465","0.7556848314073351"
"11/06-19:48:33 - Trial_71","finished","-","","","2024-11-07T02:26:53.000Z","72","","false","192","37","512","0.023983949756403385","1.6673833512302974","Adadelta","0.5348628719311456","","0.00236602369144037","37","0.6792062879370883","0.5426779137207911","0.7789919211147772","0.42569501255009623"
"11/06-19:48:33 - Trial_70","finished","-","","","2024-11-07T02:25:51.000Z","55","","false","256","24","128","0.01089847681832874","2.442977628492144","Nadam","0.3824687188111985","","0.009895264116984817","24","0.6682421396488363","0.4709407806396485","0.7438379531939547","0.4432957970670291"
"11/06-19:48:33 - Trial_69","finished","-","","","2024-11-07T02:24:38.000Z","66","","false","192","39","512","0.06426710030376027","1.4649933663524024","SGD","0.5057398026296076","","0.0014434645407912976","39","0.6777377200127492","0.5687832236289978","0.8765849171535833","0.3499083462599161"
"11/06-19:48:33 - Trial_68","finished","-","","","2024-11-07T02:23:16.000Z","76","","false","224","50","512","0.09939735463163958","1.7953826884104092","Adam","0.4698986766320077","","0.005626078557515579","50","0.5369543226111698","0.7361580025066029","0.5561825210368413","0.7240682933479548"
